baseline_vs_shielded,baseline_vs_masked,baseline_vs_proj,baseline_violations,shielded_violations,masked_violations,proj_violations,batch_idx
0.2454916089773178,0.6443567872047424,0.9927903413772583,362,0,4,0,0
0.9843569993972778,0.9988470673561096,0.9998217225074768,362,0,4,0,1
0.9998098611831665,0.9994980096817017,0.9999725818634033,362,0,4,0,2
0.9993240833282471,0.9993244409561157,0.9998745918273926,362,0,4,0,3
0.254608154296875,0.7785834074020386,0.9999954700469971,362,0,4,0,4
0.9040535092353821,0.9061769843101501,0.9658752679824829,362,0,4,0,5
0.9948608875274658,0.9995515942573547,0.9998973608016968,362,0,4,0,6
0.999998152256012,0.9999645948410034,0.9999964833259583,362,0,4,0,7
0.9486956000328064,0.9993764162063599,0.9999302625656128,362,0,4,0,8
0.9997878670692444,0.9998499751091003,0.9999864101409912,362,0,4,0,9
0.3937692940235138,0.9718135595321655,0.9945714473724365,362,0,4,0,10
0.9999399185180664,0.9999388456344604,0.9999708533287048,362,0,4,0,11
0.33832886815071106,0.7712511420249939,0.9998050928115845,362,0,4,0,12
0.9985795617103577,0.9999858736991882,0.9999911785125732,362,0,4,0,13
0.35442832112312317,0.9738349914550781,0.9944267272949219,362,0,4,0,14
0.962889552116394,0.9980560541152954,0.9975745677947998,362,0,4,0,15
0.9974250793457031,0.9718250632286072,0.9928742051124573,362,0,4,0,16
0.9935421943664551,0.9941025376319885,0.9960584044456482,362,0,4,0,17
0.8556245565414429,0.9982677102088928,0.9999573826789856,362,0,4,0,18
0.9948750734329224,0.9997024536132812,0.9999281764030457,362,0,4,0,19
0.19467657804489136,0.727637767791748,0.9208917617797852,362,0,4,0,20
0.9999890923500061,0.9999887943267822,0.9999759197235107,362,0,4,0,21
0.27441227436065674,0.7317430973052979,0.9998161792755127,362,0,4,0,22
0.9512181878089905,0.8387001752853394,0.8994330167770386,362,0,4,0,23
0.21863120794296265,0.8801212906837463,0.9665433168411255,362,0,4,0,24
0.9998934268951416,0.9998734593391418,0.9991747736930847,362,0,4,0,25
0.999992311000824,0.9999998807907104,1.0,362,0,4,0,26
0.9711551666259766,0.5493319034576416,0.9464976191520691,362,0,4,0,27
0.6295250654220581,0.6295198202133179,0.9999756813049316,362,0,4,0,28
0.998015820980072,0.957304835319519,0.9988117218017578,362,0,4,0,29
0.9988943934440613,0.9977540969848633,0.9975445866584778,362,0,4,0,30
0.9999685287475586,0.9999685883522034,0.9999972581863403,362,0,4,0,31
0.9998893737792969,0.9999768733978271,0.9999958872795105,362,0,4,0,32
0.666229248046875,0.7265995740890503,0.9046394228935242,362,0,4,0,33
0.6047476530075073,0.6251357793807983,0.9060893654823303,362,0,4,0,34
0.7029730081558228,0.9868917465209961,0.9988229274749756,362,0,4,0,35
0.9998866319656372,0.999977707862854,0.9999959468841553,362,0,4,0,36
0.35216784477233887,0.9563437700271606,0.9987600445747375,362,0,4,0,37
0.9998080730438232,0.9998166561126709,0.9999406337738037,362,0,4,0,38
0.9977816343307495,0.9999363422393799,0.9999759197235107,362,0,4,0,39
0.999963641166687,0.9999619722366333,0.9998948574066162,362,0,4,0,40
0.8843872547149658,0.47386741638183594,0.9579732418060303,362,0,4,0,41
0.8521488904953003,0.9976276159286499,0.998763918876648,362,0,4,0,42
0.9995112419128418,0.9995778203010559,0.9995362758636475,362,0,4,0,43
0.9997551441192627,0.9964472055435181,0.9995726346969604,362,0,4,0,44
0.7903141975402832,0.9968400001525879,0.9993360042572021,362,0,4,0,45
0.508309006690979,0.8360616564750671,0.9768334627151489,362,0,4,0,46
0.9086839556694031,0.9876420497894287,0.9985296130180359,362,0,4,0,47
0.8892959356307983,0.9770292043685913,0.9956989288330078,362,0,4,0,48
0.03699392080307007,0.7710538506507874,0.9504120945930481,362,0,4,0,49
0.635511040687561,0.9897796511650085,0.9984145164489746,362,0,4,0,50
0.9997037053108215,0.9997010231018066,0.9993684887886047,362,0,4,0,51
0.9998307824134827,0.9964052438735962,0.9996360540390015,362,0,4,0,52
0.9998330473899841,0.9998446702957153,0.9997580051422119,362,0,4,0,53
-0.030793780460953712,0.552425742149353,0.9999781847000122,362,0,4,0,54
0.9993089437484741,0.9992651343345642,0.9995914697647095,362,0,4,0,55
0.999504804611206,0.9998100996017456,0.9986297488212585,362,0,4,0,56
0.6704496145248413,0.9921932220458984,0.9984472990036011,362,0,4,0,57
0.3948635458946228,0.7251448631286621,0.9994089603424072,362,0,4,0,58
0.9999030828475952,0.9999290704727173,0.9995232820510864,362,0,4,0,59
0.9997013211250305,0.9997345209121704,0.9996689558029175,362,0,4,0,60
0.9994767904281616,0.9994769096374512,0.9998204708099365,362,0,4,0,61
0.9999997615814209,0.9999997019767761,0.999998927116394,362,0,4,0,62
0.9075316190719604,0.9091492295265198,0.9761216044425964,362,0,4,0,63
0.994625449180603,0.9945894479751587,0.9959133267402649,362,0,4,0,64
0.9999945163726807,0.9999999403953552,1.0,362,0,4,0,65
0.7651354670524597,0.9664930105209351,0.9958699941635132,362,0,4,0,66
0.9999862313270569,0.9999886751174927,0.9999722242355347,362,0,4,0,67
0.5739843845367432,0.6072208881378174,0.8818470239639282,362,0,4,0,68
0.7952944040298462,0.9743151664733887,0.9945037364959717,362,0,4,0,69
0.9527573585510254,0.999353289604187,0.9998779892921448,362,0,4,0,70
0.9999396800994873,0.9999628663063049,0.9998506307601929,362,0,4,0,71
0.9996551871299744,0.9999232292175293,0.9999397993087769,362,0,4,0,72
0.3307473659515381,0.8118090629577637,0.999988317489624,362,0,4,0,73
0.9986579418182373,0.9999746680259705,0.9999886155128479,362,0,4,0,74
0.8887729644775391,0.9980671405792236,0.9990930557250977,362,0,4,0,75
0.9999769926071167,0.9999797940254211,0.9998534917831421,362,0,4,0,76
0.25612980127334595,0.6874938607215881,0.9998156428337097,362,0,4,0,77
0.44520139694213867,0.9730332493782043,0.9996567964553833,362,0,4,0,78
0.6904174089431763,0.9948047995567322,0.9982308149337769,362,0,4,0,79
0.9997506737709045,0.9999248385429382,0.9998782873153687,362,0,4,0,80
0.9778140187263489,0.9924713373184204,0.9998966455459595,362,0,4,0,81
0.9996914267539978,0.9999961256980896,0.9999994039535522,362,0,4,0,82
0.9925578832626343,0.999121904373169,0.9998966455459595,362,0,4,0,83
0.9998475313186646,0.999869167804718,0.999980092048645,362,0,4,0,84
0.9984185695648193,0.9998094439506531,0.9996432065963745,362,0,4,0,85
0.9982742667198181,0.9959951043128967,0.9983959197998047,362,0,4,0,86
0.48709729313850403,0.9510511755943298,0.9933661818504333,362,0,4,0,87
0.9996052384376526,0.9999728798866272,0.9999970197677612,362,0,4,0,88
0.999555230140686,0.9777176380157471,0.9994922876358032,362,0,4,0,89
0.9994330406188965,0.9999099373817444,0.9994912147521973,362,0,4,0,90
0.1904665231704712,0.8736579418182373,0.9967518448829651,362,0,4,0,91
0.9156396389007568,0.9982515573501587,0.9996348023414612,362,0,4,0,92
0.9996026754379272,0.9935819506645203,0.9999372959136963,362,0,4,0,93
0.9892442226409912,0.9971631765365601,0.9994792938232422,362,0,4,0,94
0.9997144937515259,0.9997175931930542,0.9993677139282227,362,0,4,0,95
0.31721988320350647,0.7356696724891663,0.9955622553825378,362,0,4,0,96
0.9999998807907104,0.9999998807907104,0.9999998807907104,362,0,4,0,97
0.9982014894485474,0.9982488751411438,0.9995839595794678,362,0,4,0,98
0.8159487247467041,0.9943847060203552,0.9993895292282104,362,0,4,0,99
