baseline_vs_shielded,baseline_vs_masked,baseline_vs_proj,baseline_violations,shielded_violations,masked_violations,proj_violations,batch_idx
0.9982657432556152,0.9982658624649048,0.9996813535690308,5,0,0,0,0
0.7519562244415283,0.7519580125808716,0.956821858882904,5,0,0,0,1
0.6810025572776794,0.6810034513473511,0.9427075982093811,5,0,0,0,2
0.9952017068862915,0.9952017068862915,0.9991883635520935,5,0,0,0,3
0.9761667847633362,0.9761667251586914,0.994864284992218,5,0,0,0,4
0.685218095779419,0.6852179765701294,0.9354796409606934,5,0,0,0,5
0.9847548007965088,0.9847546815872192,0.9990159869194031,5,0,0,0,6
0.5993893146514893,0.5993902683258057,0.9171057939529419,5,0,0,0,7
0.7830542325973511,0.7830531001091003,0.9614030122756958,5,0,0,0,8
0.9661877751350403,0.9661868810653687,0.9971588253974915,5,0,0,0,9
0.46113458275794983,0.4611378014087677,0.9054567217826843,5,0,0,0,10
0.9015377759933472,0.9015382528305054,0.9844518899917603,5,0,0,0,11
0.8512705564498901,0.8512699604034424,0.9742171764373779,5,0,0,0,12
0.9973738193511963,0.9973738193511963,0.9997202157974243,5,0,0,0,13
0.8130584955215454,0.8130581378936768,0.9797604084014893,5,0,0,0,14
0.8436093330383301,0.8436093330383301,0.9592947959899902,5,0,0,0,15
0.9960644841194153,0.996064305305481,0.9993773698806763,5,0,0,0,16
0.9472483396530151,0.9472483992576599,0.9920481443405151,5,0,0,0,17
0.6179889440536499,0.6179894804954529,0.9742132425308228,5,0,0,0,18
0.7625309228897095,0.7625351548194885,0.962411642074585,5,0,0,0,19
0.571269154548645,0.571267306804657,0.8710301518440247,5,0,0,0,20
0.7918004989624023,0.7918006777763367,0.9541446566581726,5,0,0,0,21
0.6893472671508789,0.6893486976623535,0.9377750754356384,5,0,0,0,22
0.2332884967327118,0.2332884967327118,0.8170669674873352,5,0,0,0,23
0.7673214673995972,0.767321765422821,0.9546435475349426,5,0,0,0,24
0.7980446219444275,0.7980393171310425,0.9680147767066956,5,0,0,0,25
0.9601209163665771,0.9601210355758667,0.9931659698486328,5,0,0,0,26
0.9477615356445312,0.9477614164352417,0.989698052406311,5,0,0,0,27
0.6289367079734802,0.6289370656013489,0.921812891960144,5,0,0,0,28
0.6407326459884644,0.6407324075698853,0.922709584236145,5,0,0,0,29
0.5050176382064819,0.5050183534622192,0.9068858623504639,5,0,0,0,30
0.6145094633102417,0.6145094633102417,0.933670699596405,5,0,0,0,31
0.9565237760543823,0.9565224647521973,0.9893126487731934,5,0,0,0,32
0.7635153532028198,0.7635152339935303,0.9449800848960876,5,0,0,0,33
0.9611974358558655,0.9611978530883789,0.9927877187728882,5,0,0,0,34
0.9105079770088196,0.9105075597763062,0.9862326979637146,5,0,0,0,35
0.6524595022201538,0.6524598598480225,0.9579782485961914,5,0,0,0,36
0.696392297744751,0.6963915824890137,0.9428073763847351,5,0,0,0,37
0.7448017597198486,0.7468316555023193,0.9918166995048523,5,0,0,0,38
0.9871752858161926,0.9871752262115479,0.9970543384552002,5,0,0,0,39
0.9661476016044617,0.96614670753479,0.99122554063797,5,0,0,0,40
0.7874945402145386,0.7874945402145386,0.9557218551635742,5,0,0,0,41
0.42278993129730225,0.422789990901947,0.8488138914108276,5,0,0,0,42
0.5042701959609985,0.5042729377746582,0.8937973976135254,5,0,0,0,43
0.8512199521064758,0.8512206673622131,0.9784262180328369,5,0,0,0,44
0.9838682413101196,0.9838681817054749,0.9969632625579834,5,0,0,0,45
0.6987360715866089,0.6987327337265015,0.9001449942588806,5,0,0,0,46
0.5197896957397461,0.5197933316230774,0.8980308175086975,5,0,0,0,47
0.7633030414581299,0.7633076906204224,0.985416054725647,5,0,0,0,48
0.6169155836105347,0.6169188618659973,0.8935966491699219,5,0,0,0,49
0.9258823394775391,0.9258870482444763,0.9916117191314697,5,0,0,0,50
0.995063066482544,0.9950631856918335,0.999396800994873,5,0,0,0,51
0.734104573726654,0.7341066598892212,0.949926495552063,5,0,0,0,52
0.9156099557876587,0.9156105518341064,0.9899638891220093,5,0,0,0,53
0.46982553601264954,0.4698248505592346,0.9244096279144287,5,0,0,0,54
0.8547507524490356,0.8547491431236267,0.9710351228713989,5,0,0,0,55
0.835629403591156,0.835627019405365,0.9639686346054077,5,0,0,0,56
0.555242121219635,0.5552420616149902,0.8751901388168335,5,0,0,0,57
0.3323756158351898,0.33237922191619873,0.8125827312469482,5,0,0,0,58
0.9994960427284241,0.9994961023330688,0.9998818635940552,5,0,0,0,59
0.7348914742469788,0.7348902225494385,0.9524475336074829,5,0,0,0,60
0.991086483001709,0.9910863637924194,0.9985613822937012,5,0,0,0,61
0.7311344742774963,0.7311344742774963,0.9815995097160339,5,0,0,0,62
0.839644193649292,0.8396430015563965,0.9676584601402283,5,0,0,0,63
0.8071910738945007,0.8071905970573425,0.9462765455245972,5,0,0,0,64
0.910790205001831,0.9107904434204102,0.9832955598831177,5,0,0,0,65
0.9798687696456909,0.9798687100410461,0.9976928234100342,5,0,0,0,66
0.9893801212310791,0.9893800616264343,0.9986191987991333,5,0,0,0,67
0.624509334564209,0.6245163679122925,0.9492509365081787,5,0,0,0,68
0.7748952507972717,0.7748937606811523,0.9654918909072876,5,0,0,0,69
0.6247689127922058,0.624768078327179,0.9197354316711426,5,0,0,0,70
0.6472848057746887,0.6472858786582947,0.9127966165542603,5,0,0,0,71
0.8095367550849915,0.809537947177887,0.9690452218055725,5,0,0,0,72
0.7641125917434692,0.7641091346740723,0.9689255356788635,5,0,0,0,73
0.7842000722885132,0.784199595451355,0.9493471384048462,5,0,0,0,74
0.6192531585693359,0.6192535161972046,0.9139291644096375,5,0,0,0,75
0.6973025798797607,0.6973016858100891,0.9268202781677246,5,0,0,0,76
0.8451014161109924,0.8450995087623596,0.9722859263420105,5,0,0,0,77
0.8056278824806213,0.8056288361549377,0.9700825214385986,5,0,0,0,78
0.9959357976913452,0.9959357380867004,0.999629020690918,5,0,0,0,79
0.7882689237594604,0.7882655262947083,0.9611718654632568,5,0,0,0,80
0.9926352500915527,0.992635190486908,0.9986408948898315,5,0,0,0,81
0.933619499206543,0.9336185455322266,0.9932709336280823,5,0,0,0,82
0.63506019115448,0.6350604295730591,0.9243267774581909,5,0,0,0,83
0.8453091382980347,0.8453067541122437,0.9713393449783325,5,0,0,0,84
0.7616862058639526,0.7616872787475586,0.9634966850280762,5,0,0,0,85
0.7469515800476074,0.7468691468238831,0.9399805665016174,5,0,0,0,86
0.5478334426879883,0.5478325486183167,0.8922702074050903,5,0,0,0,87
0.6338511109352112,0.6338484287261963,0.9107241630554199,5,0,0,0,88
0.33412426710128784,0.3341274857521057,0.766348123550415,5,0,0,0,89
0.7207459807395935,0.7207461595535278,0.9359918832778931,5,0,0,0,90
0.9047282338142395,0.9047274589538574,0.9877621531486511,5,0,0,0,91
0.9718881249427795,0.9718886613845825,0.9968146085739136,5,0,0,0,92
0.601781964302063,0.6017821431159973,0.8958577513694763,5,0,0,0,93
0.9458166360855103,0.9458167552947998,0.9875832796096802,5,0,0,0,94
0.6514192819595337,0.6514186859130859,0.9293203353881836,5,0,0,0,95
0.842519998550415,0.8425208330154419,0.9777836203575134,5,0,0,0,96
0.7638856768608093,0.763883113861084,0.9512588977813721,5,0,0,0,97
0.7406942844390869,0.7406935691833496,0.9486100673675537,5,0,0,0,98
0.9246958494186401,0.9246953725814819,0.9871436357498169,5,0,0,0,99
