,mean,std
baseline_vs_shielded,0.7743,0.1726
baseline_vs_masked,0.7743,0.1726
baseline_vs_proj,0.9539,0.0448
baseline_violations,5.0,0.0
shielded_violations,0.0,0.0
masked_violations,0.0,0.0
proj_violations,0.0,0.0
batch_idx,49.5,29.0115
