,mean,std
baseline_vs_shielded,0.0355,0.0025
baseline_vs_masked,0.3624,0.0464
baseline_vs_proj,0.995,0.0016
baseline_violations,3.0,0.0
shielded_violations,0.0,0.0
masked_violations,0.8333,0.6969
proj_violations,0.0,0.0
batch_idx,17.5,10.5357
