baseline_vs_shielded,baseline_vs_masked,baseline_vs_proj,baseline_violations,shielded_violations,masked_violations,proj_violations,batch_idx
0.18886587023735046,0.36073434352874756,0.9878218770027161,5,0,1,0,0
0.1937405914068222,0.38695472478866577,0.9864847660064697,5,0,1,0,1
0.18729138374328613,0.3343474864959717,0.9860655069351196,5,0,0,0,2
0.1866084337234497,0.26203855872154236,0.9812809824943542,5,0,0,0,3
0.1996508240699768,0.38113921880722046,0.9823204874992371,5,0,1,0,4
0.1889592707157135,0.33068788051605225,0.9830406904220581,5,0,0,0,5
0.1937989592552185,0.34478312730789185,0.9853322505950928,5,0,0,0,6
0.18626603484153748,0.26792770624160767,0.9818078279495239,5,0,1,0,7
0.19789236783981323,0.39828020334243774,0.9855631589889526,5,0,0,0,8
0.20016294717788696,0.4452138841152191,0.9931054711341858,5,0,1,0,9
0.1935689002275467,0.3409292697906494,0.9873051643371582,5,0,1,0,10
0.1878770887851715,0.2638959288597107,0.9856488704681396,5,0,0,0,11
0.19354787468910217,0.31273776292800903,0.9853962659835815,5,0,1,0,12
0.18640048801898956,0.2872791588306427,0.9804894924163818,5,0,0,0,13
0.1821921467781067,0.24189502000808716,0.9869457483291626,5,0,0,0,14
0.1963365077972412,0.3518179655075073,0.9853803515434265,5,0,1,0,15
0.1844835728406906,0.2261752486228943,0.9911395311355591,5,0,1,0,16
0.19471246004104614,0.3780421018600464,0.9874799251556396,5,0,1,0,17
0.18772712349891663,0.36509352922439575,0.9852490425109863,5,0,1,0,18
0.19153842329978943,0.22249560058116913,0.9808491468429565,5,0,0,0,19
0.18793617188930511,0.35670602321624756,0.9858781099319458,5,0,0,0,20
0.19046735763549805,0.3436170816421509,0.9832226037979126,5,0,0,0,21
0.19284772872924805,0.36561182141304016,0.9853670597076416,5,0,1,0,22
0.18091890215873718,0.2828245759010315,0.9874992966651917,5,0,0,0,23
0.18767738342285156,0.2999995946884155,0.9856725931167603,5,0,0,0,24
0.18897730112075806,0.23367208242416382,0.9847853779792786,5,0,0,0,25
0.2004217952489853,0.3971543312072754,0.9895383715629578,5,0,1,0,26
0.18489336967468262,0.34097954630851746,0.9802224636077881,5,0,0,0,27
0.1886490285396576,0.3254011869430542,0.9817602634429932,5,0,0,0,28
0.1913418173789978,0.3598177433013916,0.9864761233329773,5,0,1,0,29
0.19312897324562073,0.37873977422714233,0.9904124140739441,5,0,0,0,30
0.18920791149139404,0.34600988030433655,0.9822161197662354,5,0,0,0,31
0.19737491011619568,0.3626236021518707,0.9843714833259583,5,0,1,0,32
0.19135186076164246,0.3853241801261902,0.9826494455337524,5,0,0,0,33
0.19838008284568787,0.3716396689414978,0.9882571697235107,5,0,0,0,34
0.191422238945961,0.2581038475036621,0.9839510917663574,5,0,0,0,35
