baseline_vs_shielded,baseline_vs_masked,baseline_vs_proj,baseline_violations,shielded_violations,masked_violations,proj_violations,batch_idx
0.9999985098838806,0.9999984502792358,0.9705398082733154,3,0,0,0,0
0.9999992847442627,0.9999993443489075,0.988243818283081,3,0,0,0,1
0.9999983310699463,0.9999983310699463,0.9009720087051392,3,0,0,0,2
0.9999980926513672,0.9999980926513672,0.9132902026176453,3,0,0,0,3
0.9999973773956299,0.9999973773956299,0.9295946359634399,3,0,0,0,4
0.9999945759773254,0.9999945163726807,0.9333590865135193,3,0,0,0,5
0.9999969601631165,0.9999969005584717,0.9530252814292908,3,0,0,0,6
0.9999979734420776,0.9999979734420776,0.9891514182090759,3,0,0,0,7
0.9999987483024597,0.9999986886978149,0.9782328605651855,3,0,0,0,8
0.999995768070221,0.9999958276748657,0.9126220345497131,3,0,0,0,9
0.999997079372406,0.999997079372406,0.939301073551178,3,0,0,0,10
0.9999985694885254,0.9999986886978149,0.9767153263092041,3,0,0,0,11
0.9999947547912598,0.9999947547912598,0.9618024826049805,3,0,0,0,12
0.9999939203262329,0.9999938607215881,0.9392664432525635,3,0,0,0,13
0.9999983310699463,0.9999983906745911,0.8252339363098145,3,0,0,0,14
0.9999974370002747,0.9999974370002747,0.9763615727424622,3,0,0,0,15
0.999998927116394,0.9999988675117493,0.9628316164016724,3,0,0,0,16
0.9999969005584717,0.9999969005584717,0.9541651010513306,3,0,0,0,17
0.9999982118606567,0.9999982118606567,0.9170069694519043,3,0,0,0,18
0.9999975562095642,0.999997615814209,0.930254340171814,3,0,0,0,19
0.9999988675117493,0.9999988079071045,0.9789674282073975,3,0,0,0,20
0.9999982118606567,0.9999982118606567,0.9353642463684082,3,0,0,0,21
0.9999954104423523,0.9999954700469971,0.9507710337638855,3,0,0,0,22
0.9999988079071045,0.9999987483024597,0.9863040447235107,3,0,0,0,23
0.9999971389770508,0.9999971389770508,0.947489857673645,3,0,0,0,24
0.9999962449073792,0.9999962449073792,0.9487491846084595,3,0,0,0,25
