,mean,std
baseline_vs_shielded,1.0,0.0
baseline_vs_masked,1.0,0.0
baseline_vs_proj,0.937,0.0324
baseline_violations,3.0,0.0
shielded_violations,0.0,0.0
masked_violations,0.0,0.0
proj_violations,0.0,0.0
batch_idx,49.5,29.0115
