,mean,std
baseline_vs_shielded,0.8617,0.0683
baseline_vs_masked,0.8617,0.0683
baseline_vs_proj,0.9915,0.0047
baseline_violations,4.0,0.0
shielded_violations,0.0,0.0
masked_violations,0.0,0.0
proj_violations,0.0,0.0
batch_idx,3.0,2.1602
